date,open,high,low,close,volume
2019-01-02,74.25,74.97,73.53,73.66,43941
2019-01-03,72.51,74.54,72.51,73.83,44949
2019-01-04,73.33,77.24,73.23,76.96,79053
2019-01-07,76.94,77.65,76.3,77.42,59696
2019-01-08,77.22,79.45,77.2,79.33,85750
2019-01-09,77.0,78.21,75.18,77.98,123799
2019-01-10,77.64,77.85,76.02,76.28,83943
2019-01-11,76.6,76.75,74.8,75.29,61367
2019-01-14,75.3,76.33,74.3,76.08,48488
2019-01-15,76.0,77.48,74.85,77.37,58736
2019-01-16,76.9,77.2,76.41,76.67,25739
2019-01-17,76.95,77.69,76.41,76.66,37188
2019-01-18,77.16,77.16,74.0,75.4,65039
2019-01-21,75.03,75.63,74.26,75.24,52412
2019-01-22,75.0,75.67,74.03,74.27,42589
2019-01-23,74.26,75.66,74.01,75.44,48848
2019-01-24,75.0,75.86,74.7,75.17,37984
2019-01-25,75.64,78.79,75.17,77.44,91190
2019-01-28,78.1,78.26,76.02,76.07,46289
2019-01-29,76.26,77.39,74.1,76.68,52363
2019-01-30,74.33,77.36,73.61,76.2,77078
2019-01-31,76.27,77.77,76.05,76.12,44128
2019-02-01,76.67,79.17,76.2,78.4,62144
2019-02-11,78.99,81.38,78.98,81.0,83433
2019-02-12,80.5,81.6,80.03,81.0,49891
2019-02-13,80.8,83.57,80.37,81.7,78772
2019-02-14,81.5,88.88,81.35,84.72,127233
2019-02-15,84.4,86.0,82.4,82.42,105153
2019-02-18,83.15,84.88,82.56,84.46,87787
2019-02-19,84.66,84.78,81.8,82.29,94258
2019-02-20,82.8,84.5,82.1,83.17,60674
2019-02-21,82.7,84.87,82.3,83.33,82288
2019-02-22,83.0,85.3,82.11,84.37,89600
2019-02-25,85.77,91.66,85.77,91.32,154113
2019-02-26,90.0,90.8,87.68,88.5,113242
2019-02-27,87.7,89.39,85.3,86.05,91038
2019-02-28,86.01,89.18,86.01,87.7,72399
2019-03-01,91.1,92.88,89.4,90.03,96193
2019-03-04,91.5,95.16,90.73,92.39,140369
2019-03-05,92.38,92.98,91.2,92.6,86157
2019-03-06,93.12,93.8,89.38,91.2,104329
2019-03-07,90.85,90.85,86.68,87.89,137071
2019-03-08,86.0,88.3,84.72,84.97,110697
2019-03-11,84.73,88.18,84.55,87.92,93547
2019-03-12,91.6,93.85,89.21,91.07,147634
2019-03-13,90.99,90.99,87.71,88.08,75777
2019-03-14,87.98,90.48,87.32,88.95,79826
2019-03-15,90.01,91.4,88.97,89.83,78215
2019-03-18,89.89,90.0,87.9,89.28,72758
2019-03-19,89.15,91.88,88.0,88.6,68170
2019-03-20,88.5,88.5,85.82,87.17,88141
2019-03-21,87.0,88.4,85.95,87.12,81360
2019-03-22,87.12,87.12,85.21,86.58,60190
2019-03-25,87.97,90.58,87.02,89.0,129906
2019-03-26,88.02,88.49,84.9,85.3,97198
2019-03-27,85.5,86.54,82.3,83.41,94921
2019-03-28,83.34,84.36,82.1,83.2,58572
2019-03-29,83.42,85.0,82.65,85.0,71241
2019-04-01,85.16,86.96,85.0,86.35,92391
2019-04-02,86.35,86.43,84.33,84.98,102413
2019-04-03,84.8,85.2,83.88,84.48,71840
2019-04-04,84.63,85.16,84.0,84.17,66796
2019-04-08,84.71,84.9,81.1,82.29,113770
2019-04-09,84.76,85.25,82.9,83.91,119423
2019-04-10,83.81,83.81,81.7,82.24,108408
2019-04-11,82.25,82.6,80.58,80.72,89538
2019-04-12,80.92,82.61,80.91,81.98,59357
